会社名,代表者名,住所,電話番号,ホームページ,Instagram,業種,従業員数,営業優先度,営業理由,提案内容,採用ページ有無,メモ
有限会社中條製作所,中條貴夫,大阪府東大阪市今米2-3-7,072-962-1905,https://chujo-ss.co.jp/,,金属プレス加工・金型,10名,A,ISO9001取得・品質管理,製造工程動画・技術紹介動画,無,創業1969年・金型設計製作から加工まで
チトセ工業株式会社,中西啓文,大阪府八尾市西高安町5-3,072-925-3900,https://www.chitose-kk.co.jp/,,金属プレス加工・ろう付け,45名,S,3事業展開・ISO9001取得,会社紹介動画・製造工程動画・採用動画,無,プレス加工・ろう付け・無線機器製造
株式会社倉角,倉角耕治,大阪府八尾市八尾木北5-7,072-923-3336,http://www.kurasumi.com/,,プレス金型設計製作,非公開,A,小ロット生産得意・一貫対応,製造工程動画・会社紹介動画,無,金型設計からプレス加工まで一貫
株式会社ワイエム,打越良信,大阪府八尾市高砂町3-66-7,072-928-3377,https://www.ym-ptb.com/,,プレス・板金・レーザー加工,16名,A,若手従業員多い・採用募集中,採用動画・会社紹介動画・リクルートページ制作,有,空調機器・自動販売機部品製造
コージ産業株式会社,吉村耕司,大阪府八尾市太田新町6-115,072-920-0220,http://kojisangyou.co.jp/,,プレス・板金加工,非公開,S,採用サイト有・設備投資活発,採用動画・工場紹介動画・ホームページリニューアル,有,板金加工・スチールパレット販売
株式会社アイキ,非公開,大阪府八尾市泉町,非公開,https://www.m-osaka.com/,,精密試作板金加工,非公開,A,MOBIO常設展示場出展,製造工程動画・会社紹介動画,無,精密試作板金加工に強み
葵スプリング株式会社,非公開,大阪府八尾市太田,非公開,https://www.aoispring.co.jp/,,バネ製造,非公開,A,線バネ・板バネ専門,技術紹介動画・会社紹介動画,無,各種バネ製造の専門企業
藤田金属株式会社,藤田盛一郎,大阪府八尾市西弓削3-8,072-949-3221,http://www.fujita-kinzoku.jp/,@fujita_kinzoku,金属プレス・フライパン製造,20名,S,オープンファクトリー化・ブランド展開・Instagram活用,会社紹介動画・製品PR動画・YouTube運用・SNS運用・ドローン撮影,有,自社ブランド展開・工場見学可能・採用注力・経産省300社受賞
マツモラ産業株式会社,松茂良興蔵,大阪府八尾市福万寺町南6-1-3,072-923-8810,http://matsumora.co.jp/,,金属プレス加工,34名,S,従業員30名超・資本金4000万円,会社紹介動画・製造工程動画・リクルートページ制作,無,順送プレス加工専門・全国対応
共進金属工業株式会社,非公開,大阪府大阪市平野区,非公開,https://www.kyosin-kk.co.jp/,,鉄道車両部品・ステンレス製品,非公開,S,Instagram活発・デザイン性高い・採用注力,採用動画・技術PR動画・Instagram運用・YouTube運用,無,鉄道車両部品・ステンレス便器開発・SNS活用
ダイエー金属工業,金岡友勝,大阪府大阪市平野区平野馬場1-3-31,06-6791-6064,https://www.daiei-p.com/,,金属プレス加工・金型設計,非公開,A,小物部品に特化・試作対応,製造工程動画・会社紹介動画,無,小物金属プレス加工・金型持込歓迎
駒井金属工業株式会社,駒井聡,大阪府大阪市生野区桃谷5-12-28,06-6731-2434,https://www.komai-kinzoku.com/,,精密プレス・深絞加工,15名,A,創業1930年・長年の実績,会社紹介動画・技術紹介動画,無,精密プレス・深絞加工専門
門金属株式会社,非公開,大阪府大阪市生野区,06-6758-3762,https://www.kadokin.jp/,,金属プレス加工・金型設計,非公開,A,企画段階から相談可・小ロット対応,製造工程動画・会社紹介動画,無,昭和32年創業・一貫生産体制
有限会社小桜,非公開,大阪府大阪市東住吉区,非公開,https://www.kozakura-seimitsu.com/,,精密金属加工・樹脂加工,非公開,A,創業63年・ミクロン単位の精度,技術紹介動画・会社紹介動画,無,精密金属加工・樹脂加工対応・1個から対応
株式会社エム.ティ.アイ,宮﨑祥行,大阪府松原市三宅中4-20-19,072-331-9298,https://e-mti.jp/,,金属プレス加工,非公開,S,若手社員多数・ISO9001取得・採用活発,採用動画・会社紹介動画・製造工程動画・リクルートページ制作,有,松原市エクセレント企業・30〜50代社員中心
株式会社井宮製作所,井宮豊和,大阪府松原市河合5-380,072-331-8395,https://imiya.jimdofree.com/,,NC精密板金加工,非公開,A,大型プレス機保有・NC板金,製造工程動画・会社紹介動画,無,NC精密板金と大型プレス加工
株式会社田中金属製作所,非公開,大阪府松原市三宅中7-3-26,072-338-0588,https://www.tanaka-kk.jp/,,金属精密加工・切削,非公開,A,ミクロン単位の精度・多品種対応,技術紹介動画・会社紹介動画,無,各種金属の精密加工・セッサク加工
株式会社ヒライ工業所,非公開,大阪府松原市,非公開,https://www.hirai-kougyousho.com/,,金属プレス加工,非公開,A,独自工程方法・品質重視,製造工程動画・会社紹介動画,無,松原市エクセレント企業・プレス加工専門
長吉工業株式会社,非公開,大阪府松原市,非公開,https://www.nagayoshi-kogyo.co.jp/,,送風機製造・金属加工,非公開,A,送風機製作技術・多様なものづくり,会社紹介動画・製造工程動画,無,松原市エクセレント企業・送風機製造
