会社名,代表者名,住所,電話番号,ホームページ,Instagram,業種,従業員数,営業優先度,営業理由,提案内容,採用ページ有無,メモ
株式会社マッセシステム,非公開,大阪府八尾市,非公開,非公開,,電気工事全般,非公開,S,HP情報少ない・幅広い工事対応,ホームページ制作・会社紹介動画・施工実績動画,無,太陽光発電・高圧設備・自動火災報知機設備
株式会社小谷電気商会,小谷忠司,大阪府大阪市生野区田島2-2-26,090-3722-7567,https://kotani-denki.com/,,電気工事・空調設備,非公開,S,HP新しいが動画なし・採用ページなし,施工実績動画・採用ページ制作・SNS運用,無,昭和50年設立・電気工事・空調工事全般
株式会社松本空調設備,非公開,大阪府大阪市東住吉区,06-7172-2945,https://www.matsumoto-kucho.jp/,,業務用空調・電気設備,非公開,A,HPシンプル・動画なし・発信強化余地,施工実績動画・会社紹介動画・採用ページ制作,無,業務用空調工事・電気設備工事一貫対応
有限会社中尾電設,中尾豊,大阪府大阪市東住吉区東田辺1-15-14,06-6622-6891,https://www.nakaodensetu.com/,,電気設備・空調設備工事,20名,A,HP有・採用ページ有・動画なし,施工実績動画・採用動画・技術紹介動画,有,創業1966年・電気工事・空調設備・LAN工事
株式会社クラフト,新居孝裕,大阪府大阪市東住吉区公園南矢田4-22-40,06-4700-3244,https://www.craft-e.jp/,,電気設備・空調設備,非公開,A,HP有・大手取引・発信強化余地,施工実績動画・会社紹介動画・ドローン撮影,無,特定建設業許可・電気・管工事・消防施設
株式会社岡田電気,非公開,大阪府大阪市東成区東今里2-11-30,非公開,https://www.okadadenki-dontokoi.com/,,電気設備・空調設備,非公開,S,HPシンプル・動画なし・幅広い対応,ホームページリニューアル・施工実績動画・会社紹介動画,無,電気設備工事・空調設備工事・リフォーム
有限会社高美電気工事,末松竜弥,大阪府大阪市西成区玉出中1-13-23,非公開,https://takamidenki.co.jp/,,電気設備工事,22名,A,HP有・採用ページ無・動画なし,施工実績動画・採用ページ制作・会社紹介動画,無,1966年創業・電気設備工事の設計並びに施工
株式会社テクノ電設,壺谷透,大阪府大阪市福島区福島2-4-3,06-6442-8500,http://techno-densetsu.co.jp/,,電気設備・消防施設,4名,S,小規模・HPシンプル・社長直接可能,ホームページリニューアル・会社紹介動画・施工実績動画・採用ページ制作,無,電気設備工事・消防施設工事
有限会社サカイ電設,大仲美矢子,大阪府堺市北区新金岡町3-6-10,072-253-4333,https://www.sakai-densetsu.co.jp/,,電気設備・電気通信,非公開,A,HP有・採用ページ有・動画なし,施工実績動画・採用動画・ドローン撮影,有,電気設備・電気通信・受変電設備工事
清英機電工業株式会社,中尾ちよみ,大阪府堺市美原区南余部382-2,072-362-0815,https://www.seieikiden0815.co.jp/,,電気・電気通信・空調,3名,S,小規模・HPシンプル・発電機専門,ホームページリニューアル・会社紹介動画・施工実績動画・技術紹介動画,無,発電機設置・点検・負荷試験・非常用発電機
有限会社中村電気工事,非公開,大阪府堺市美原区北余部193-1,非公開,http://nakamura-denkikoji.com/,,高圧電気・空調設備,非公開,S,HPシンプル・動画なし・昭和48年創業,ホームページリニューアル・施工実績動画・会社紹介動画,無,高圧電気工事・一般電気工事・エコキュート
杉本電気システムソリューション,杉本TakuChan,大阪府堺市北区,非公開,http://cf706079.cloudfree.jp/WP/,,電気制御設計・施工,非公開,S,HPシンプル・制御設計専門,ホームページリニューアル・技術紹介動画・会社紹介動画,無,電気制御設計・制御盤設計・関連システム開発
株式会社ヨシタケ設備,非公開,大阪府松原市,非公開,http://yoshitake-setubi.com/,,空調設備工事,非公開,A,HP有・採用ページ有・動画なし,施工実績動画・採用動画・会社紹介動画,有,平成22年創業・空調工事専門・ビル商業施設店舗
株式会社藤原電設,非公開,大阪府松原市東新町5-121-1,072-294-6722,http://fujiwaradensetsu.com/,,電気設備・空調設備,非公開,S,HPシンプル・プラント電気工事,施工実績動画・会社紹介動画・技術紹介動画,無,プラント電気工事・空調設備工事・全国対応
K2工業,木村恭輔,大阪府松原市西野々2-474-1,非公開,https://craft-bank.com/company/948545,,電気・空調・給排水,非公開,S,HP情報少ない・総合設備工事,ホームページ制作・会社紹介動画・施工実績動画,無,電気工事・空気調和設備工事・給排水衛生設備工事
有限会社奥野電気設備,奥野敏一,大阪府羽曳野市羽曳が丘7-2-11,072-927-9014,https://okusetsu.jp/,,電気設備・消防設備,10名,A,HP有・動画なし・採用ページなし,施工実績動画・会社紹介動画・採用ページ制作,無,電気設備工事・消防設備工事・空調設備工事
増田設備工業株式会社,非公開,大阪府東大阪市御厨南2-4-3,06-6785-7280,https://masuda-eng.com/,,設備工事,非公開,S,HPシンプル・動画なし・施工実績未掲載,ホームページリニューアル・施工実績動画・会社紹介動画,無,大阪・東大阪・八尾の設備工事
清水工業株式会社,清水昭義,大阪府東大阪市旭町3-6,072-981-2827,https://shimizu-kogyo.tkc.best-hp.jp/,,管工事・水道工事,6名,A,HP有・採用ページなし・動画なし,施工実績動画・会社紹介動画・採用ページ制作,無,昭和27年創業・管工事・水道工事・各種配管工事
株式会社八尾工業所,高山善亮,大阪府八尾市東山本新町9-12-1,072-999-3223,https://www.yao-kogyosho.com/,,給排水衛生・空調電気,非公開,S,HPシンプル・動画なし・特定建設業,施工実績動画・会社紹介動画・ドローン撮影,無,特定建設業許可・給排水衛生・空調換気・電気設備
トーエー設備株式会社,東田吉博,大阪府八尾市西高安町,072-997-1080,非公開,,給排水空調設備,非公開,S,HP情報少ない・給排水空調専門,ホームページ制作・会社紹介動画・施工実績動画,無,給排水空調設備工事・メンテナンス
株式会社谷村工業,谷村博之,大阪府東大阪市中石切町,072-987-1111,非公開,,給排水衛生・空調設備,非公開,S,HP情報少ない・設計施工,ホームページ制作・会社紹介動画・施工実績動画,無,給排水衛生・空気調和設備の設計施工
エッカ商事株式会社,柏木武生宜,大阪府八尾市南木の本,072-994-0011,非公開,,ガス配管・住設機器,非公開,S,HP情報少ない・ガス配管専門,ホームページ制作・会社紹介動画・施工実績動画,無,ガス配管・住設機器工事
株式会社池田工業所,非公開,大阪府東大阪市池島町,非公開,非公開,,設備工事,非公開,S,HP情報限定・地域密着・社長アプローチ可,ホームページ制作・会社紹介動画・施工実績動画,無,電気工事・設備工事・地域密着型
有限会社大阪設備,非公開,大阪府大阪市平野区,非公開,非公開,,管工事・給排水,非公開,S,HP情報限定・小規模・発信弱い,ホームページ制作・会社紹介動画・施工実績動画,無,給排水・管工事専門・小規模事業者
株式会社三和設備工業,非公開,大阪府堺市,非公開,非公開,,空調・給排水設備,非公開,S,HP情報限定・中小規模・営業価値高,ホームページ制作・会社紹介動画・施工実績動画,無,空調・給排水設備工事・堺市エリア
